GEOID,NAME,value,AGEGROUP,RACE,HISP
28,Mississippi,2976149,All ages,All races,Both Hispanic Origins
28,Mississippi,2876039,All ages,All races,Non-Hispanic
28,Mississippi,100110,All ages,All races,Hispanic
28,Mississippi,1758081,All ages,White alone,Both Hispanic Origins
28,Mississippi,1678232,All ages,White alone,Non-Hispanic
28,Mississippi,79849,All ages,White alone,Hispanic
28,Mississippi,1124559,All ages,Black alone,Both Hispanic Origins
28,Mississippi,1113643,All ages,Black alone,Non-Hispanic
28,Mississippi,10916,All ages,Black alone,Hispanic
28,Mississippi,18705,All ages,American Indian and Alaska Native alone,Both Hispanic Origins
28,Mississippi,15067,All ages,American Indian and Alaska Native alone,Non-Hispanic
28,Mississippi,3638,All ages,American Indian and Alaska Native alone,Hispanic
28,Mississippi,33032,All ages,Asian alone,Both Hispanic Origins
28,Mississippi,32251,All ages,Asian alone,Non-Hispanic
28,Mississippi,781,All ages,Asian alone,Hispanic
28,Mississippi,1806,All ages,Native Hawaiian and Other Pacific Islander alone,Both Hispanic Origins
28,Mississippi,1042,All ages,Native Hawaiian and Other Pacific Islander alone,Non-Hispanic
28,Mississippi,764,All ages,Native Hawaiian and Other Pacific Islander alone,Hispanic
28,Mississippi,39966,All ages,Two or more races,Both Hispanic Origins
28,Mississippi,35804,All ages,Two or more races,Non-Hispanic
28,Mississippi,4162,All ages,Two or more races,Hispanic
28,Mississippi,486693,65 years and over,All races,Both Hispanic Origins
28,Mississippi,481168,65 years and over,All races,Non-Hispanic
28,Mississippi,5525,65 years and over,All races,Hispanic
28,Mississippi,133558,65 years and over,Black alone,Both Hispanic Origins
28,Mississippi,344928,65 years and over,White alone,Both Hispanic Origins
28,Mississippi,340681,65 years and over,White alone,Non-Hispanic
28,Mississippi,4247,65 years and over,White alone,Hispanic
28,Mississippi,132658,65 years and over,Black alone,Non-Hispanic
28,Mississippi,900,65 years and over,Black alone,Hispanic
28,Mississippi,1800,65 years and over,American Indian and Alaska Native alone,Both Hispanic Origins
28,Mississippi,1671,65 years and over,American Indian and Alaska Native alone,Non-Hispanic
28,Mississippi,129,65 years and over,American Indian and Alaska Native alone,Hispanic
28,Mississippi,3427,65 years and over,Asian alone,Both Hispanic Origins
28,Mississippi,3387,65 years and over,Asian alone,Non-Hispanic
28,Mississippi,40,65 years and over,Asian alone,Hispanic
28,Mississippi,158,65 years and over,Native Hawaiian and Other Pacific Islander alone,Both Hispanic Origins
28,Mississippi,128,65 years and over,Native Hawaiian and Other Pacific Islander alone,Non-Hispanic
28,Mississippi,30,65 years and over,Native Hawaiian and Other Pacific Islander alone,Hispanic
28,Mississippi,2822,65 years and over,Two or more races,Both Hispanic Origins
28,Mississippi,2643,65 years and over,Two or more races,Non-Hispanic
28,Mississippi,179,65 years and over,Two or more races,Hispanic
28,Mississippi,1386793,18 years and over,White alone,Both Hispanic Origins
28,Mississippi,2277566,18 years and over,All races,Both Hispanic Origins
28,Mississippi,2212474,18 years and over,All races,Non-Hispanic
28,Mississippi,65092,18 years and over,All races,Hispanic
28,Mississippi,1333837,18 years and over,White alone,Non-Hispanic
28,Mississippi,52956,18 years and over,White alone,Hispanic
28,Mississippi,830269,18 years and over,Black alone,Both Hispanic Origins
28,Mississippi,823620,18 years and over,Black alone,Non-Hispanic
28,Mississippi,6649,18 years and over,Black alone,Hispanic
28,Mississippi,12963,18 years and over,American Indian and Alaska Native alone,Both Hispanic Origins
28,Mississippi,10813,18 years and over,American Indian and Alaska Native alone,Non-Hispanic
28,Mississippi,2150,18 years and over,American Indian and Alaska Native alone,Hispanic
28,Mississippi,26061,18 years and over,Asian alone,Both Hispanic Origins
28,Mississippi,25641,18 years and over,Asian alone,Non-Hispanic
28,Mississippi,420,18 years and over,Asian alone,Hispanic
28,Mississippi,1388,18 years and over,Native Hawaiian and Other Pacific Islander alone,Both Hispanic Origins
28,Mississippi,814,18 years and over,Native Hawaiian and Other Pacific Islander alone,Non-Hispanic
28,Mississippi,574,18 years and over,Native Hawaiian and Other Pacific Islander alone,Hispanic
28,Mississippi,20092,18 years and over,Two or more races,Both Hispanic Origins
28,Mississippi,17749,18 years and over,Two or more races,Non-Hispanic
28,Mississippi,2343,18 years and over,Two or more races,Hispanic
29,Missouri,6137428,All ages,All races,Both Hispanic Origins
