Date,Demographic_category,Administered_Dose1,Administered_Dose1_pct_known,Administered_Dose1_pct_US,Series_Complete_Yes,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup,Series_Complete_Pop_Pct_known,Series_Complete_Pop_Pct_US,Booster_Doses_Vax_pct_agegroup,Booster_Doses_Pop_Pct_known,Booster_Doses_Vax_Pct_US,Booster_Doses_Pop_Pct_known_Last14Days,Booster_Doses_Yes,Booster_Doses_Yes_Last14Days
04/12/2022,Ages_65-74_yrs,33634129,13.1,13.1,29307106,95,91.9,13.4,13.4,66.3,19.6,13.9,24.5,19422785,236701
04/12/2022,Ages_40-49_yrs,35203651,13.7,13.7,30282857,86.3,74.2,13.9,13.9,43.2,13.2,14.4,8.4,13096935,80632
04/12/2022,Ages_5-11_yrs,9994728,3.9,3.9,8067626,34.8,28.1,3.7,3.7,0,0,0,0,0,0
04/12/2022,Race_eth_NHNHOPI,611496,0.3,0.2,551978,65.8,59.4,0.3,0.3,46.6,0.3,0.3,0.4,242802,3629
04/12/2022,Ages_12-15_yrs,11331119,4.4,4.4,9652817,67,57.1,4.4,4.4,21.2,2.1,4.6,4.3,2046688,41369
04/12/2022,Ages_25-39_yrs,54478112,21.3,21.3,45533801,79.7,66.6,20.8,20.8,35.3,16.3,21.6,12.6,16078303,121766
04/12/2022,Ages_12-17_yrs,17392910,6.8,6.8,14853986,68.7,58.7,6.8,6.8,23.9,3.6,7.1,6.3,3549246,60515
04/12/2022,Race_eth_NHBlack,19611999,10.3,7.7,17147680,47.6,41.6,10.1,7.8,44.1,8.3,10.1,9.9,7293992,85541
04/12/2022,Ages_<12yrs,10084675,3.9,3.9,8107279,20.8,16.7,3.7,3.7,0,0,0,0,0,0
04/12/2022,Ages_75+_yrs,22794805,8.9,8.9,19741595,95,86.2,9,9,70.1,14,9.4,17.7,13839477,170746
04/12/2022,Age_unknown,9322,0,0,2215,,,0,0,0,0,0,0,0,0
04/12/2022,Race_eth_NHWhite,104997175,55.1,41,95247636,53.2,48.3,56.1,43.6,58.8,61.4,56.6,51,54191486,440696
04/12/2022,Sex_Female,132595455,52.2,51.7,113721696,78.7,67.5,52.4,52,49.3,54.8,52.5,54.3,54056109,523129
04/12/2022,US,256363358,,100,218521227,77.2,65.8,,100,47,,100,,98874734,965210
